Estado_Municipio,Região,UF,Município,Ano de eleição (2018),Nome candidato (2018),Votos válidos (2018),Votos nominais (2018),Ano de eleição (2022),Nome candidato (2022),Votos válidos (2022),Votos nominais (2022),Código SUS,Cobertura Vacinal 2015,Cobertura Vacinal 2016,Cobertura Vacinal 2017,Cobertura Vacinal 2018,Cobertura Vacinal 2019,Cobertura Vacinal 2020,Cobertura Vacinal 2021,Cobertura Vacinal 2022
MG-CATAGUASES,SUDESTE,MG,CATAGUASES,2018,FERNANDO HADDAD,36164,19908,2022,LUIZ INÁCIO LULA DA SILVA,39577,23298,311530,125.91,130.3,112.97,107.57,96.13,84.02,92.12,101.94
MG-CATAS ALTAS,SUDESTE,MG,CATAS ALTAS,2018,JAIR MESSIAS BOLSONARO,2973,1591,2022,LUIZ INÁCIO LULA DA SILVA,3658,2047,311535,78.79,85.94,110.94,152.0,145.16,85.48,86.42,84.75
MG-CATAS ALTAS DA NORUEGA,SUDESTE,MG,CATAS ALTAS DA NORUEGA,2018,FERNANDO HADDAD,2258,1303,2022,LUIZ INÁCIO LULA DA SILVA,2866,1913,311540,266.67,80.56,69.44,103.03,85.19,7.41,57.14,86.84
MG-CATUJI,SUDESTE,MG,CATUJI,2018,FERNANDO HADDAD,4616,3374,2022,LUIZ INÁCIO LULA DA SILVA,5393,4024,311545,54.96,37.09,42.38,71.88,98.56,69.78,140.15,179.44
MG-CATUTI,SUDESTE,MG,CATUTI,2018,FERNANDO HADDAD,2707,2054,2022,LUIZ INÁCIO LULA DA SILVA,3135,2221,311547,103.03,102.08,104.17,101.89,83.82,66.18,98.0,133.33
MG-CAXAMBU,SUDESTE,MG,CAXAMBU,2018,JAIR MESSIAS BOLSONARO,11301,6550,2022,LUIZ INÁCIO LULA DA SILVA,12488,6106,311550,113.33,80.08,77.73,100.0,98.26,110.87,94.83,110.04
MG-CEDRO DO ABAETE,SUDESTE,MG,CEDRO DO ABAETE,2018,JAIR MESSIAS BOLSONARO,699,462,2022,LUIZ INÁCIO LULA DA SILVA,894,432,311560,116.67,125.0,62.5,70.0,33.33,183.33,350.0,100.0
MG-CENTRAL DE MINAS,SUDESTE,MG,CENTRAL DE MINAS,2018,JAIR MESSIAS BOLSONARO,3746,2151,2022,LUIZ INÁCIO LULA DA SILVA,4046,1956,311570,143.9,110.0,118.33,140.0,75.95,53.16,64.86,72.5
MG-CENTRALINA,SUDESTE,MG,CENTRALINA,2018,FERNANDO HADDAD,4906,2923,2022,LUIZ INÁCIO LULA DA SILVA,5632,3638,311580,101.22,68.97,100.86,106.6,69.61,105.88,133.75,86.73
MG-CHACARA,SUDESTE,MG,CHACARA,2018,FERNANDO HADDAD,2012,1089,2022,LUIZ INÁCIO LULA DA SILVA,2980,1725,311590,0.0,0.0,57.14,29.63,23.08,51.28,74.07,105.41
