,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
4160,2018,SABINOPOLIS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6742,4807,MG-SABINOPOLIS
9449,2018,SACRAMENTO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,12949,8501,MG-SACRAMENTO
13507,2018,SALINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,19922,11614,MG-SALINAS
6100,2018,SALTO DA DIVISA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2894,1876,MG-SALTO DA DIVISA
12525,2018,SANTA BARBARA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,15730,8460,MG-SANTA BARBARA
14595,2018,SANTA BARBARA DO LESTE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4477,2438,MG-SANTA BARBARA DO LESTE
5941,2018,SANTA BARBARA DO MONTE VERDE,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2155,1287,MG-SANTA BARBARA DO MONTE VERDE
15090,2018,SANTA BARBARA DO TUGURIO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2954,2109,MG-SANTA BARBARA DO TUGURIO
7395,2018,SANTA CRUZ DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4475,3011,MG-SANTA CRUZ DE MINAS
3665,2018,SANTA CRUZ DE SALINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2452,2034,MG-SANTA CRUZ DE SALINAS
9207,2018,SANTA CRUZ DO ESCALVADO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3086,2081,MG-SANTA CRUZ DO ESCALVADO
3332,2018,SANTA EFIGENIA DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2170,1267,MG-SANTA EFIGENIA DE MINAS
11559,2018,SANTA FE DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1773,1349,MG-SANTA FE DE MINAS
10948,2018,SANTA HELENA DE MINAS,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2931,2189,MG-SANTA HELENA DE MINAS
10703,2018,SANTA JULIANA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,6406,3742,MG-SANTA JULIANA
17130,2018,SANTA LUZIA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,109741,68452,MG-SANTA LUZIA
10221,2018,SANTA MARGARIDA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,8591,4685,MG-SANTA MARGARIDA
5860,2018,SANTA MARIA DE ITABIRA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,5367,3350,MG-SANTA MARIA DE ITABIRA
6169,2018,SANTA MARIA DO SALTO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2389,1491,MG-SANTA MARIA DO SALTO
5224,2018,SANTA MARIA DO SUACUI,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,6372,3963,MG-SANTA MARIA DO SUACUI
6300,2018,SANTA RITA DE CALDAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,5044,3526,MG-SANTA RITA DE CALDAS
16454,2018,SANTA RITA DE IBITIPOCA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2034,1417,MG-SANTA RITA DE IBITIPOCA
3042,2018,SANTA RITA DE JACUTINGA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3008,1573,MG-SANTA RITA DE JACUTINGA
